text,label
Earnings after tax FY 2019 ₹90463,profit
"EPS BASIC 2018 ₹1,489,350",other
"interest expense 1,435,716",expense
"TURNOVER 2023 52,806,521",revenue
total income 2023 32329103,revenue
COST OF MATERIALS FY 2019 ₹8601004,expense
2019 SUBSCRIPTION REVENUE 2696860,revenue
SALES REVENUE 70465583,revenue
"INTEREST EXPENSE 2024 71,772,941 (Note 3)",expense
"notes to accounts 2019 ₹73,201,729 (Note 16)",other
EXTRAORDINARY ITEMS ₹97692,other
"FY 2019 gross profit 48,035,641",profit
2023 Operating Cost ₹497242,expense
Net income 762099,profit
Consolidated revenue 2021 647093,revenue
"fy 2022 OPERATING REVENUE ₹69,657,791",revenue
FY 2022 Operating revenue 71806103,revenue
PBT ₹266794,profit
"FY 2022 Service income ₹98,829,073",revenue
2019 Share capital ₹68698,other
"SCHEDULE 1 FY 2018 75,602,067",other
"Revenue from operations 2022 96,491,387",revenue
Operating revenue ₹123643,revenue
"fy 2021 PBT ₹48,823,102",profit
"Administrative expenses ₹40,358,304 (Note 7)",expense
"interest expense 2022 ₹89,020,561",expense
"CONTINGENT LIABILITY FY 2021 ₹86,154,629",other
"RELATED PARTY NOTE 2024 ₹66,556,899",other
Rent expense FY 2023 ₹74814,expense
FY 2021 other income 33308,other
"Profit after tax (PAT) FY 2018 ₹99,077,729",profit
rental income 2021 ₹62487600,revenue
"cost of materials ₹43,954,207",expense
"ebit FY 2023 92,105,521",profit
"share capital 2024 ₹87,753,852",other
"rent expense 2023 ₹83,140,797",expense
TOTAL INCOME FY 2024 ₹382089,revenue
"2021 EBITDA ₹40,201,920",profit
Profit after tax (PAT) ₹32884017,profit
"accounting policy change FY 2020 ₹25,266,784",other
Prior period items 2022 990761,other
"fy 2019 employee benefits ₹82,601,005",expense
Prior period items FY 2021 73944,other
"operating income FY 2020 ₹95,479,337",profit
Operating profit 3347649,profit
"Insurance expense FY 2020 20,547,544",expense
Interest expense 13318,expense
Power and Fuel 2018 ₹88719,expense
"fy 2020 EBIT ₹37,876,882",profit
"contingent liability 2021 ₹2,343,930",other
employee benefits FY 2019 ₹39766678 (Note 10),expense
"fy 2023 Tax expense 19,770,859",expense
"Profit for the year 2018 ₹90,972,724",profit
GROSS PROFIT ₹86205634,profit
2023 net income 8710832,profit
PROFIT BEFORE TAX FY 2020 140551,profit
"FY 2019 Net Profit ₹21,067,555",profit
"Deferred tax 35,790,625",other
"Earnings from operations FY 2022 ₹8,668,654",profit
"FY 2024 GROSS PROFIT 41,893,281",profit
revenue from operations 820724,revenue
PBT ₹594087,profit
Professional fees 2022 21868737,expense
Operating revenue ₹538651,revenue
OPERATING PROFIT 2019 62618,profit
OPERATING PROFIT 2019 526361,profit
"2021 EPS basic 48,444,743",other
Interest expense FY 2021 755216,expense
Consolidated revenue 2022 20646,revenue
Other income ₹924002,other
cost of goods sold FY 2021 119042,expense
fy 2019 TAX EXPENSE ₹54146,expense
"Related party note ₹72,149,745",other
