



Year,Revenue from Operations,Other Income,Total Income,Cost of Materials,Employee Benefits,Finance Costs,Depreciation,Other Expenses,Total Expenses,Profit Before Tax (PBT),Tax Expense,Net Profit (PAT),EPS (₹)
FY 2019,"3,85,672","5,328","3,91,000","2,42,500","11,800","17,250","18,900","56,550","3,47,000","44,000","11,500","32,500",49.62
FY 2020,"4,12,345","6,155","4,18,500","2,58,000","12,300","18,200","20,100","60,400","3,69,000","49,500","13,000","36,500",55.73
FY 2021,"3,98,750","5,250","4,04,000","2,50,000","13,000","16,500","19,800","58,700","3,58,000","46,000","12,000","34,000",51.91
FY 2022,"4,92,680","7,320","5,00,000","3,05,000","14,800","14,500","22,500","72,200","4,29,000","71,000","18,500","52,500",80.15
FY 2023,"5,78,910","9,090","5,88,000","3,55,000","16,500","13,200","24,800","85,500","4,95,000","93,000","24,000","69,000",105.34

Particulars,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Non-current assets,"2,85,000","3,05,000","3,25,000","3,80,000","4,50,000"
Current assets,"1,15,000","1,30,000","1,20,000","1,60,000","1,90,000"
Total Assets,"4,00,000","4,35,000","4,45,000","5,40,000","6,40,000"
Equity,"1,85,000","2,15,000","2,45,000","2,90,000","3,45,000"
Debt,"1,35,000","1,45,000","1,35,000","1,65,000","1,80,000"
Current liabilities,"80,000","75,000","65,000","85,000","1,15,000"
Total Liabilities & Equity,"4,00,000","4,35,000","4,45,000","5,40,000","6,40,000"

Ratio,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
EBITDA Margin (%),12.8,13.5,13.2,15.8,16.5
Net Profit Margin (%),8.3,8.7,8.4,10.5,11.7
Return on Equity (ROE) (%),17.6,17.0,13.9,18.1,20.0
Return on Capital Employed (ROCE) (%),14.2,14.8,13.5,16.5,18.2
Debt to Equity Ratio (x),0.73,0.67,0.55,0.57,0.52
Current Ratio (x),1.44,1.73,1.85,1.88,1.65
Interest Coverage Ratio (x),3.55,3.72,3.79,5.90,8.05
Earnings Per Share (₹),49.62,55.73,51.91,80.15,105.34
Book Value Per Share (₹),282.4,328.2,374.0,442.7,526.7

Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)
Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore),Cash Flow Statement (INR Crore)

Segment,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Petrochemicals,"1,68,450","1,72,300","1,65,800","2,05,600","2,38,700"
Refining & Marketing,"1,42,300","1,55,200","1,48,500","1,82,400","2,15,600"
Retail & Consumer,"45,200","52,800","51,200","68,500","82,400"
Digital Services,"18,500","19,500","21,800","28,900","35,200"
Others,"11,222","12,545","11,450","7,280","7,010"
Total Revenue,"3,85,672","4,12,345","3,98,750","4,92,680","5,78,910"
